| SOP Code              | SOP Title                                                   | ALL | TA Recruiter | TA Lead / Manager |  HC |  IT | Eng / Prof | Sales / AM |  BD | MKT | Ops / HR | Finance | Managers | CEO |
| --------------------- | ----------------------------------------------------------- | --: | -----------: | ----------------: | --: | --: | ---------: | ---------: | --: | --: | -------: | ------: | -------: | --: |
| **HIS-SOP-GOV-001**   | SOP Governance, Document Control & Change Management        |   A |            A |                 R |   A |   A |          A |          A |   A |   A |        R |       A |        C |   C |
| **HIS-SOP-REQ-001**   | AI-Driven Requirement Synthesis & Execution Brief           |   A |            R |                 C |   R |   R |          R |          R |   A |   A |        A |     N/A |        C |   A |
| **HIS-SOP-TA-001**    | Requisition Intake, Rate Alignment & Delivery Kickoff       |   A |            R |                 C |   R |   R |          R |          R |   A | N/A |        A |       A |        C |   A |
| **HIS-SOP-TA-002**    | Sourcing, Outreach, Candidate Ownership & Consent           |   A |            R |                 C |   R |   R |          R |          A |   A | N/A |        A |     N/A |        C |   A |
| **HIS-SOP-TA-003**    | Screening, Qualification & Submission QC                    |   A |            R |                 C |   R |   R |          R |          R | N/A | N/A |        A |     N/A |        C |   A |
| **HIS-SOP-TA-004**    | Interview, Offer, Start & Retention Follow-Through          |   A |            R |                 C |   R |   R |          R |          R | N/A | N/A |        A |       A |        C |   A |
| **HIS-SOP-HC-001**    | Healthcare Credential Packet & Compliance Readiness         |   A |            A |                 R |   C | N/A |        N/A |          A | N/A | N/A |        R |     N/A |        R |   A |
| **HIS-SOP-IT-001**    | IT Staffing Delivery & Technical Screening                  |   A |            A |                 R | N/A |   C |        N/A |          A | N/A | N/A |        A |     N/A |        R |   A |
| **HIS-SOP-ENG-001**   | Engineering & Professional Services Delivery Standards      |   A |            A |                 R | N/A |   A |          C |          A | N/A | N/A |        A |     N/A |        R |   A |
| **HIS-SOP-SALES-001** | Client, MSP/VMS, Rate Governance & Escalation               |   A |            A |                 R |   A |   A |          A |          C |   R | N/A |        A |       R |        C |   A |
| **HIS-SOP-BD-001**    | New Client Acquisition, Proposals, RFPs & Client Onboarding |   A |          N/A |                 A | N/A | N/A |        N/A |          R |   C |   R |        A |       A |        R |   A |
| **HIS-SOP-MKT-001**   | Employer Brand, Digital Marketing & Lead Generation         |   A |            A |                 A |   A |   A |          A |          R |   R |   C |        A |     N/A |        R |   A |
| **HIS-SOP-CX-001**    | Candidate Experience, Communication SLA & Re-Engagement     |   A |            R |                 C |   R |   R |          R |          A |   A |   A |        A |     N/A |        C |   A |
| **HIS-SOP-PLAT-001**  | Independent SaaS Usage — KleriQ.ai & ProKred.com            |   A |            R |                 C |   R |   R |          R |          A |   A |   R |        R |     N/A |        C |   A |
| **HIS-SOP-LEGAL-001** | Contracts, Data Privacy, EEOC & Immigration Compliance      |   A |            A |                 R |   A |   R |          R |          R |   R |   A |        C |       R |        C |   A |
| **HIS-SOP-FIN-001**   | Invoicing, Contractor Payroll, AR/AP & Margin Governance    |   A |          N/A |                 A | N/A | N/A |        N/A |          R |   A | N/A |        R |       C |        R |   A |
| **HIS-SOP-OPS-001**   | Tool Access, Credential Control & Deprovisioning            |   A |            A |                 R |   A |   A |          A |          A |   A |   A |        C |       A |        C |   A |
| **HIS-SOP-HR-001**    | Training, Acknowledgment, Goals & Performance Linkage       |   A |            A |                 R |   A |   A |          A |          A |   A |   A |        C |       A |        C |   A |
| **HIS-SOP-AUDIT-001** | KPI Dashboard, Weekly Audit & Monthly Business Review       |   A |            A |                 C |   A |   A |          A |          R |   A |   A |        R |       R |        C |   C |
| **HIS-TRAIN-001**     | Role-Based Training Curriculum & Certification Plan         |   A |            A |                 R |   A |   A |          A |          A |   A |   A |        C |       A |        C |   A |
| **HIS-TPL-001**       | Manager Acknowledgment, Audit Checklists & Field Templates  |   A |          N/A |                 C | N/A | N/A |        N/A |          R |   A |   A |        R |       A |        C |   A |
